date,a,b,c,d,e,f
04-01-2021,36.869999,36.939999,36.27,36.810001,35.156662,33565700
05-01-2021,36.720001,37.369999,36.599998,37.189999,35.519588,29909400
06-01-2021,36.830002,37.48,36.77,36.869999,35.213966,34962500
07-01-2021,37.040001,37.150002,36.669998,37.060001,35.395432,27809500
08-01-2021,37.16,37.529999,36.900002,37.130001,35.462288,33462400
11-01-2021,37.220001,37.830002,37.150002,37.77,36.07354,47286900
12-01-2021,37.700001,37.790001,36.82,37.18,35.51004,47831100
13-01-2021,37,37.169998,36.639999,36.860001,35.204414,31027900
14-01-2021,36.779999,36.959999,36.610001,36.75,35.099354,30272000
15-01-2021,36.68,36.779999,36.400002,36.700001,35.051601,34287800
19-01-2021,36.759998,37,36.619999,36.73,35.08025,33451300
20-01-2021,36.790001,36.810001,36.459999,36.5,34.860584,35400100
21-01-2021,36.389999,36.59,36.150002,36.48,34.84148,33829700
22-01-2021,36.32,36.830002,36.25,36.549999,34.908337,26271200
25-01-2021,36.549999,37.290001,36.32,37.279999,35.605545,31728500
26-01-2021,37.27,37.599998,37.16,37.310001,35.634205,27718700
27-01-2021,36.990002,37.040001,36.169998,36.240002,34.612263,50561200
28-01-2021,35.950001,36.330002,35.84,35.860001,34.621914,39466700
29-01-2021,36.880001,36.880001,35.619999,35.900002,34.660538,60251900
01-02-2021,35.93,36.189999,35.720001,35.799999,34.563984,40395800
02-02-2021,35.759998,35.779999,34.27,34.990002,33.781956,84062400
03-02-2021,34.990002,35.290001,34.779999,34.84,33.637135,38524200
04-02-2021,34.810001,35.080002,34.700001,34.889999,33.685406,34284900
05-02-2021,34.919998,35.080002,34.779999,34.919998,33.714367,31749600
08-02-2021,34.959999,35.009998,34.740002,34.82,33.617825,31633900
09-02-2021,34.799999,35.060001,34.759998,34.970001,33.762646,30170200
10-02-2021,35,35.080002,34.700001,34.740002,33.540588,29039900
11-02-2021,34.799999,34.810001,34.279999,34.43,33.241291,30885200
12-02-2021,34.439999,34.950001,34.360001,34.720001,33.521275,25578600
16-02-2021,34.849998,34.860001,34.560001,34.689999,33.492306,28730300
17-02-2021,34.57,35,34.459999,34.889999,33.685406,26389400
18-02-2021,34.779999,34.880001,34.52,34.560001,33.366802,24052500
19-02-2021,34.66,34.68,34.400002,34.439999,33.250942,28145300
22-02-2021,34.330002,34.369999,34.040001,34.259998,33.07716,34322500
23-02-2021,34,34.189999,33.68,33.91,32.739239,37624200
24-02-2021,33.869999,34.049999,33.669998,33.75,32.58477,30686100
25-02-2021,33.82,34.110001,33.540001,33.82,32.652348,37506100
26-02-2021,33.84,33.900002,33.360001,33.490002,32.333744,41462800
01-03-2021,33.59,33.93,33.509998,33.689999,32.52684,30407800
02-03-2021,33.68,33.889999,33.5,33.509998,32.35305,27670400
